HASH,Assembly,C,C++,C#,Python,Java,Ruby,PHP,Go,JavaScript,CodeQl,Other
1e9187309aff75af6ebd1a33a86b851adb62f68b8f8c3dd1aadf6ef05565f75993ab7b8e785f89f1618abbfb1feb4f11a43955e8ad1aca540e789fc72db34c22,0,0,0,0,0,0,0,49.63,0,0.94,0,49.42
89756bbfd955c9273d46288e33ad5f8bb0d71bb6572748ea78ac8efcfd7a4ffccfab9284b8890e51231a176b78b86c0353d52d26b3ca3815254f53a9909dec57,0,0,0,0,0,0,0,0,0,0,0,0
c5ad7a64119ad651a88c919e0895ca4314a64034d5dda8802888e214b8da860ecdd0f045221c4811533f02812eb58c9d6df37e76546410df2549d303b47cd64e,0,69.99,0,0,0,0,0,0,0,0,0,30.01
266e3d997b4e7f58154a0b9a612c5b845ab6d357f3a5dc98cfeb9631214f3b9efea206a66778dbc1aa7072949300026819ddbe42a256989dbe5ee073bfbe768b,0,0.04,91.96,0,1.92,0,0,0,0.0,0.0,0,6.07
cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e,0,0,0,0,0,0,0,0,0,0,0,0
2aa02ebcf027c4a3327ff4aff5d47a3810226a28fd1599f4291dfa3ef5e8773cb8bca429a966121ee729bb30d605ec5c416d0a03a8e9f8d4d72f74528d0e7c05,0,0,0.04,0,0.02,0,0.0,0,0,0.04,0,99.88999999999999
64fc68a0caffbddeee6a202d19cc174cfe0ff354e102c9da885cd6995ad0f62000e4858dc01342b7401db72a9cd9f00e993bba59fd89edc4e67acb08a3425d23,0,91.36,0,0,0,0,0,0,0,0,0,8.62
88ecfd60d45936a6c89ef2dabff1e5f03fca2188c8a19bb91701851da8db9be14bbac1601b5585acc93940191a507d228fe39c246efb39632c69b747c171f20c,0.52,79.29,13.23,0,3.84,0,0,0,0,0,0,3.11
c44af087810e64c99165250938d87d5e3cc017b1c072b0d41cb4c340401f79d7435b54ff98683ee47852cb1df183a2336791a2557a00ff68ffb62ce1bcdaed74,19.19,67.86,10.66,0,0,0,0,0,0,0,0,2.29
dc4dbf2b1952f48171f4ae25b16fe4b0c9be8751a15131e6712e2a761781c69e0c80d8306a4a94d164bdd4622c7a7aac877d4da51019567b4a507e160456097c,0,0,0,0,0,0,0,0,99.76,0,0,0.24
bc9f462411dded6e3411b429eb3ea2feae8c9146fb25970e2d833305b329f7d4339f3f4e461f09acfa34d7eac6ff3235772b105947c4cf123d7fcde61e144929,0,96.22,3.72,0,0,0,0,0,0,0,0,0.05
c79b99616c6f40f5481f6e60c6a618116e4ab3b0365d3149654c3278c12cf60017364efa8288d8854c68dbe594f1bed25374aff80427a46a4bab8e0128e55167,0,65.35,2.14,0,0,0,25.86,0,0,0,0,6.64
310d04b10f70b8becb4020d5d9a2f7ff5295026de0089e01709a2b79b078b4d2d4c96c85dca105e654c4510e2c913284b55fb2e70058253769430f21635c511d,0,94.71,0,0,0,0,0,0,0,0.4,0,4.88
9e130069da7817033a3c79d456d2bed2a47c75abc96bfdbec5d37ceeb2a65a0d21dd4628f377745182bc0f8ecb09111b26ab8f11cc45bb84a0bd058705b2775c,0,0.67,80.86,0,1.69,0,0,0,0,7.8,0,8.989999999999998
a7502dd752f2a762be1d238d3c75887a46f3e7d34110d651890a2f51f3d6eb24fd0b99a3acb4cb2a35e1e7811ce0f418286d7ca9bff684a06ba52bd67b5754a2,0,0,94.59,0,0.32,0,0,0,0,0,0,5.09
eb4a5f1ebcfa158e71f59865620b75b267aa91fd5e0a501bb44fb467ab6b735ac9e1b78622e7546e663b9ddffd939fc7f19421c6a22f9747f495b99c98991719,0,84.22,0,0.1,0.26,2.34,0.1,0,0,0.0,0,13.01
75ec76442e9a370d74e566b8c32c139d38b43613720962541ea80a35473c656cecef83afeb63647ac10c64a28bf6aa581451eb3cc6caef4c3b9831ce927be343,0,0,0,0,0,0,0,0,0,0,0,100.0
bcc7b65d19353587d4167749e2a88760a519163128bec0dc0f4bdd7843f712c6c137b36c5df9f1b405a0a915b9e6a30ee05c33d834f2ae6f2c3b7de1dadc9926,0,92.69,0,0,1.86,0,0,0,0,0.14,0,5.3100000000000005
c79870838ebb9ef921be27c4305b4864b6eb9e821f3fdb2b3f355508b7d97f24e3fb1022184bcb1f4ab84f80a21b3b7fff36a70c8f1a6d39bc272ad3f496dfa2,0.06,25.99,62.88,2.76,0.22,0,0,0.21,0,0,0,7.869999999999999
7ffbe12e7282c3ccf090fbf588755ccc7f4e3b64ced903cdd34be0b42f947bd87adef414e3a29aace6da547d876989fb16bd79f716ab265cdf51d94f3d768be9,0.01,0,0,0,0,0,0,0,97.76,0,0,2.23
3e43c992563d7bdfa0a04bcd7e3510552660f16ee35e8193c54038159476bc2142639806ddb7aeeb02a92562e0b3a6e1e7476949dba1416296f7395c3a243230,0,0,0,0,0,0,0,0,97.93,0,0,2.08
77b5bea6a7254372a97152a175d137556cc7f022b1bc666b82b6d78797d089dbfcdd198d7af590049cf9deaaad03361b48c1a1fc038fd0b0434d6af4fa540599,0,1.94,86.76,0,0.94,0,0,0,0,0,0,10.360000000000001
97fbba49649fd9852def8c54abb1f64b754d245d6457d14c32ca33fac7409b6019e4b02be4a27bd0ce384e3f99794ae1893f068f3e444809772db394135d1535,0,0,95.2,0,0.7,0,0,0,0,0,0,4.109999999999999
aa7a0eca232843d20437832a0a104148a81432fe8864015076f04a449bee34a459d7e502357fb943a9b2d10a983b4a02236596fe1d61d7a444db5fc59cc6d2e3,0,80.07,0,0,1.27,0,14.97,0,0,0,0,3.69
00b0882dcfbcddb9c62083984c61b20319ca6cf525d0d238a1a6539544e36cbf477ae052bf9859e9d848761a527841d3c1150893af33d4087bf091fe0d1c39da,0,85.63,0,0,0.18,0,0,0,0,0,0,14.19
21f6354551484d3624cac1fd36f6cdf977aabaeb4ada23930d20a44b7179e5703de672554bbea5e56b0517360d0a9dfb018d36181e7f188fd4adbfbcf5f9b28e,0,64.43,29.78,0,0,0,0,0,0,0,0,5.79
1c5c54ed4f4a66b25b0181fc007387111c8c73d79e0d4ad4990b01d72c18b3cf6eb111bf057f5a4a769d0dbad74912326b72dd83c86f6d99346cfe142f8b4996,0,0,0,0,0.2,0,0,0,95.95,0,0,3.84
5e2bc681018333e8e50d6f8a5fe89b6c92ca64c5d8e0acd718009f750c5915154d540c428e6888263627f24ea7f1ac0b30b9e9147933da03449a83fb406d56bb,0,0,0,0,98.62,0,0,0,0,0,0,1.38
813aebadfd5164fe2d278522459919ec2a49625ec019b6494089085faa1a6f746d95482f4ea4674192df2413b14950a7f110f071a77983b2f09a11ad8820b562,0,0,0,0,0,96.16,0,0,0,0,0,3.84
d7cd9df0be3e170475d0fda07fe9ba938eca7f93a127eb063bd6b273e6b63f9ae680303fc139e410127c361c7dfc0ffcf789a0b27f8ef1a38cba1891f4500cb1,0,91.9,0,0,0,0,0,0,0,0,0,8.08
9d659c989c357839a22a12470f0d93f8133ac51915b34dd2fcb08c061fbd10f6ca35eceb2d2ea8844ae0d049e0f1f67a0aa32c7131cbfc8587757b41b9afd81a,0,72.62,0.33,0,0,0,0,0,0,0,0,27.05
c57ae9efe1a39a59cc2fa6b8aed3a5cd55783f273a6ce80aad34971fc5e2d146557e9abac33a7e67f667b7bbd8960358f9f6ae4afb5dd07f8ea933373888523e,0,90.99,0,0,6.59,0,0,0,0,0,0,2.41
21419c396936c56c489d53d5a1925491475d1c6ce5f5e246280633d30044b9378947ba6b918b1d6cc1f683a2baf03f5c2d647a349d303c9b032df12de59f1574,0,1.53,79.16,0.01,1.9,0.4,0,0,0.82,5.07,0,11.12
6b78fdf023c64ce900d1e76a32d221a0c7d791b0d273af7c9c7589c9a625ff647ef46e077cac10c0bd1ec5b4479d84c987728d3741967116b8412a26e3acd6c2,0,0.28,83.08,0,0.4,0,0,0,0,0,0,16.24
d263d8856edc6a3c7ce4566c4d5a36609c05ec20ea3b65574f3243de5878a16a685d49e53d4dc914098146d78af562850cadc1877742b0f63e34781d0ed5da6a,0,0,0,0,0,0,0,0,0,0,0,0
b228115a2494493f664fb67663336e3d56c26c83f2881b8c63384f10d81f00ec9b85c5d0cfa785396963443b915b4904c1c9dff3b5b5dc535195c5f69eb9d984,0,0,0,0,0,0,0,0,99.83,0,0,0.17
297ed8eaa06365ac129a0e2040cca3801263ab53ab351dd9372f96c8d79a580496d1ec8e67ff892f3abe2493ef2c377aa6c01d98362ce09b12b4a9c874700eb8,0,80.6,0,0,0,0,0,0,0,0,0,19.410000000000004
5bb82e089a04726514e9bb7ee2a96a12356f2ab16e14fa86cf6a97cc67fa739019a9d4b30bfdf9b053d93984e21cf05d4414c961a4dc179987fcf8cb436f3395,2.46,77.28,11.13,0,0,0,0,0,0,0,0,9.15
cfb361184d7b9bb06a8931e85a66d7c3c7d7b15b9bf3274f2c99107f790689f5a956262cebefe8ce834d555c1c9aee2c0195fdc5cd20871d9a8f2c8efcd33259,0,85.48,4.57,0,0,0,0,0,0,0,0,9.95
d577f4b84be4a0d4ca1380108c300a21620fa68dcd1a51a963e59c546612af190a66a0f740ff4be0011346dfc039d5d42baa2ce264edb28ed58e09079e3f3eac,0.0,2.88,21.51,0,12.5,0,0,0,0,61.09,0,2.02
f9a428e8e5a6c53cd79de00b5e65167a00f334924dac8fdf5da7839453c4d2f109a333812085f8662b036d7cdd9ce13c21792a31d77bc1089895ba27ca54590e,0,98.23,0.03,0,0.26,0,0,0,0,0,0,1.4900000000000002
6b651be9a0ba0ef7b16639ca164245bac431c28c81cbdd45e8e14977d7ee90adc7a254926752a715991c6d24a6ed466315b6d6a2f83953448829d82640cbe67f,0,0,0,0,0,0,0,0,99.81,0,0,0.19
51e1ca2d10d5f974607676030bd1c671fae2a8062725a3eaaf5d3b2439616d0f219f9389fa138222447f0700c504897b82643153521b5b93f05662ed252748cc,0,24.1,0,0,1.5,0,0,0,0,0.47,0,73.92999999999999
895f9a76bf942a04f29c76e960bda68025c63b6134590847ff9759dca6a801705825789ba2ef40a50aad07135f8c70b77139fedc1f2432c32b46f2cf24731bbe,0,0.04,74.08,0,0.26,0,0,0,2.54,0,0,23.08
5773758eab8db215b6af9bb2cf7ed049f57cea1531b403d98e8bf872206ec6266c74ce3d294e509bad7b860cfe67bcee08d4597f8ad7af76ed0465655fc88858,0,96.12,0.12,0,1.97,0,0,0,0,0,0,1.7899999999999998
e8f2b4ff17e4b5c4ac778514b59e694242df2ae2bc32ad628c01173e90f5dbf4e2a4eff7809a078f2ac5d7ac48e2b539bc00f6a269ae955df51e77e603e1164d,0,0,0,0,0,0,0,0,0,0,0,0
506983a6ef7e819b7693232782b0527cfd7df5daaa46dd641de250840b64a8477615d003568a0a54a1fa9ac06b563e7a8a5d6da48697217ee9969bd155b7f315,0,0,98.11,0,0,0,0,0,0,0,0,1.8800000000000001
0cb8bf1be19e3267164879a6a3a9e5cd0a3e6a997fa8e013bf945a18ce744cf4bcc4ccccc8c1f2da1bc37c84acea526ac3c0bc70c68fb9b6fef910f5338d6f92,0,92.91,0.01,0,4.11,0,0,0,0,0,0,2.9699999999999998
6a8d0a159a3a497b04c16f15eaef79ba8e0c389ff036ea7ae612b288c17908c88176985d4892ea49d70f805a4a867184ba47779c9e3b1548eb0618ff8552ce84,0,2.9,84.67,0,1.08,0,0,0,0,1.51,0,9.84
18b2478cf672cf32417b60c51d94fa0c1743e0862c95dfa85de21687f3db7496cd2456e2ce82eb524cf87bc2358b6cafab623557d6fea5d51eb83a49ccad8ff9,0,0.11,0,0,0.87,0,0.14,0,0,0,0,98.88
d2445edbbde089e8aef35a65cbb2655e0c486339c3c56608daf98d595323ad7d2b8e6b94ca3f48d84bc9b2a28337132144ea058581d6daa6c6b5d5f514a76190,0,66.96,6.43,0,1.21,0,1.53,0.23,0,0.0,0,23.63
7fcf530bcffbf6bf62cbddd2805f0ffbf4303f30da72242f4ed4b4ef9ea980734b739bb5f781e49a0bc47db752833bdb5d46cfd973eef00e81a5b0e1b8ce653f,0,96.06,0.36,0,0,0,0,0,3.57,0,0,0.01
ef5444ebe71ebc57937a80aa6d839d0be144648cfb09da843d989a7e85c1cbe97e2f134031ca242ec57f513d6c64a4d1c9ece37032ec9cd8b6bb43ceb02d23d0,0,87.36,7.11,0,0.43,0.51,0,0,0,2.56,0,2.04
4123b08d89630fcb88f59231f5e82fcfeb0debcec57bed5be7c04862f117848ee9779a9cacb0f073040373f3776314b49c47646ad6c7af7c4b0bf0c227e80410,0,0,0,0,0,27.97,0,0,0,0,0,72.03
459ccff88cc69a03301d70a2cdc2ab7d7ac5a6ad46f7c3aa28e1b8e84231af49349a0c761d11a85776a109f5027840809a5dd596da96de766794081c5394a301,0,99.28,0.07,0,0.17,0,0,0,0,0,0,0.47
b86a63b153008016d1ef1d32569fbdc3f018d326bc6c97034dff25119c060fab704b7309e68bf78835e4908844c474a0df5d6abf34ada86b27ba9021bb006e0c,0,36.81,0,0,0,0,0,0,0,0,0,63.190000000000005
8fd57a65fe80a12dd679ecb1948b78ead5418639866267a1c3d2d61ee539e180ce1ba5fccb7ccfaa4c28c76214de90f35c0b68cca45d00afd3a2b65b42c7b0fe,0,0,0,0,0,0,0,0,0,0,0,100.0
25f3959a35977b560c323c239f9d3ba0f9cd1f685facde193ea23891371838c08eca935158c82acde5ee2f388be52532f870fdf32e1a07880567f0894188e694,0,0,0,0,0,97.04,0,0,0,0,0,2.96
44c6bab38e1beccafeeca538a9eb00a684fff716378af1adc38cada31bdce698dab48182cbd1cdd3ef4c3f65821389719d145b1a2580bdb238304574fbfb3e7e,0,65.76,24.1,0,5.24,0,0.04,0,0,0,0,4.85
867fff67bd28112c840945b80b4bdaf4c3f96d031e1906a0a4139616658f40c20e19d0a9a9f9c77bd126a80875f34839e78d6ce859194067a5c6343782815ed0,0.04,49.87,0.13,0,0.88,0,0,0,0.08,0.25,0,48.739999999999995
b0c82c6a36b15e22d4b103e8252abff5391b7153c4f977d24fba197c33f7b24df421f43e174cd14b975818e6298e56380cf4d886087b5b2ba65a3ef9828c0e21,0.01,89.87,0.45,0.12,1.8,1.64,0.67,0,0.55,0,0,4.870000000000001
9749c56d6d101ead229f7faea5807800985949fa80422d10a480c465351ba1c6d3bdef003527e17aa15e6d47fed594f65a9ef9f856dfe719d238cdeb5fdbc8bf,0,0,0,0,0.2,0,0.8,0,94.32,0.04,0,4.6499999999999995
01a21ac525d2dbb8917c85fcfddaaf3391e62c70664680b14a2e7d124c4342f5a4bbe6ccee8df3107635bbc138f0c4aace1372dd95a3d21568457a1e0e18f74e,0,83.58,0,0,1.68,0,0,0,0,0,0,14.739999999999997
ca9541df1e06a960728ddafb79edc23f33d5cb8375676531b73e26bee2c8cbd3c555c868a1f21f1a73254576b72efcd3e7d8997a57c839ffea40827d84f753c0,14.82,83.84,0.96,0,0,0,0,0,0,0,0,0.39
39e3623f784f364af894c1de194aedf68c5f12e06a716dd8bc7186233d769f06bf797013c2806acd1f073037c2e9ec589fd504fc62a21a6e29149a634150e951,31.83,0,1.06,0,0,0,0,0,67.12,0,0,0
